NID,STID,MIN_10,Hour_1,Hour_3,Hour_6,Hour_12,Hour_24,RST_DATE,Elev,Stationnam,latitude,longtitude,altitude,geometry
46467457,C0T820,2.0,27.5,85.5,203.5,368.5,659.5,2025-09-23 23:50:00,550.0,天祥,24.179598,121.495636,550.0,POINT (121.495636 24.179598)
46112098,C0T870,0.5,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,135.0,鯉魚潭,23.935638,121.50894,135.0,POINT (121.50894 23.935638)
46290634,C0T870,0.0,1.0,10.0,68.0,95.0,130.5,2025-09-22 23:50:00,135.0,鯉魚潭,23.935638,121.50894,135.0,POINT (121.50894 23.935638)
46467458,C0T870,0.0,1.0,60.5,95.5,239.5,359.0,2025-09-23 23:50:00,135.0,鯉魚潭,23.935638,121.50894,135.0,POINT (121.50894 23.935638)
46112099,C0T900,0.0,0.5,0.5,0.5,2.5,2.5,2025-09-21 23:50:00,160.0,西林,23.8119,121.44146,160.0,POINT (121.44146 23.8119)
46290635,C0T900,2.0,2.0,12.5,34.0,52.5,73.0,2025-09-22 23:50:00,160.0,西林,23.8119,121.44146,160.0,POINT (121.44146 23.8119)
46467459,C0T900,4.0,14.5,56.5,92.5,190.5,384.0,2025-09-23 23:50:00,160.0,西林,23.8119,121.44146,160.0,POINT (121.44146 23.8119)
46112100,C0T960,0.5,1.0,1.0,1.0,1.5,1.5,2025-09-21 23:50:00,120.0,光復,23.660694,121.424965,120.0,POINT (121.424965 23.660694)
46290636,C0T960,0.0,0.0,10.5,54.0,83.0,117.0,2025-09-22 23:50:00,120.0,光復,23.660694,121.424965,120.0,POINT (121.424965 23.660694)
46467460,C0T960,3.5,10.5,51.0,133.5,181.0,327.5,2025-09-23 23:50:00,120.0,光復,23.660694,121.424965,120.0,POINT (121.424965 23.660694)
46112101,C0T9A0,0.0,0.5,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,498.0,月眉山,23.809929,121.539825,498.0,POINT (121.539825 23.809929)
46290637,C0T9A0,0.0,0.0,8.5,23.0,35.5,57.5,2025-09-22 23:50:00,498.0,月眉山,23.809929,121.539825,498.0,POINT (121.539825 23.809929)
46467461,C0T9A0,0.0,2.5,25.0,27.0,60.5,142.0,2025-09-23 23:50:00,498.0,月眉山,23.809929,121.539825,498.0,POINT (121.539825 23.809929)
46112102,C0T9B0,0.0,0.5,0.5,0.5,2.5,2.5,2025-09-21 23:50:00,558.0,水源,23.991861,121.53717,558.0,POINT (121.53717 23.991861)
46290638,C0T9B0,0.5,2.5,13.0,36.0,85.5,125.5,2025-09-22 23:50:00,558.0,水源,23.991861,121.53717,558.0,POINT (121.53717 23.991861)
46467462,C0T9B0,4.5,13.5,79.0,112.0,235.0,351.5,2025-09-23 23:50:00,558.0,水源,23.991861,121.53717,558.0,POINT (121.53717 23.991861)
46112232,C0Z190,1.0,2.5,5.0,5.0,5.0,5.0,2025-09-21 23:50:00,62.0,富世,24.147432,121.6297,62.0,POINT (121.6297 24.147432)
46290765,C0Z190,3.0,12.0,17.0,69.0,84.0,124.5,2025-09-22 23:50:00,62.0,富世,24.147432,121.6297,62.0,POINT (121.6297 24.147432)
46467588,C0Z190,0.0,8.0,12.5,54.5,101.5,285.0,2025-09-23 23:50:00,62.0,富世,24.147432,121.6297,62.0,POINT (121.6297 24.147432)
46112233,C0Z200,0.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,153.0,萬榮,23.709219,121.420105,153.0,POINT (121.420105 23.709219)
46290766,C0Z200,1.0,2.5,16.0,49.0,67.0,107.5,2025-09-22 23:50:00,153.0,萬榮,23.709219,121.420105,153.0,POINT (121.420105 23.709219)
46467589,C0Z200,7.5,10.5,48.5,99.0,177.0,295.5,2025-09-23 23:50:00,153.0,萬榮,23.709219,121.420105,153.0,POINT (121.420105 23.709219)
46112234,C0Z210,0.0,1.5,1.5,1.5,1.5,1.5,2025-09-21 23:50:00,126.0,瑞穗,23.5239,121.39021,126.0,POINT (121.39021 23.5239)
46290767,C0Z210,1.5,2.0,50.5,78.5,110.0,140.0,2025-09-22 23:50:00,126.0,瑞穗,23.5239,121.39021,126.0,POINT (121.39021 23.5239)
46467590,C0Z210,0.5,15.0,62.0,154.0,202.5,356.0,2025-09-23 23:50:00,126.0,瑞穗,23.5239,121.39021,126.0,POINT (121.39021 23.5239)
46112235,C0Z220,0.0,0.5,7.5,7.5,12.0,12.0,2025-09-21 23:50:00,589.0,和平林道,24.343922,121.65632,589.0,POINT (121.65632 24.343922)
46290768,C0Z220,0.5,26.5,40.5,62.0,125.5,155.5,2025-09-22 23:50:00,589.0,和平林道,24.343922,121.65632,589.0,POINT (121.65632 24.343922)
46112222,C0Z020,0.5,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,211.0,明里,23.208717,121.262344,211.0,POINT (121.262344 23.208717)
46290755,C0Z020,2.5,14.0,35.5,52.5,90.0,100.0,2025-09-22 23:50:00,211.0,明里,23.208717,121.262344,211.0,POINT (121.262344 23.208717)
46467591,C0Z220,0.5,10.5,23.0,68.5,122.0,301.5,2025-09-23 23:50:00,589.0,和平林道,24.343922,121.65632,589.0,POINT (121.65632 24.343922)
46112236,C0Z230,0.0,5.5,22.5,22.5,31.5,31.5,2025-09-21 23:50:00,31.0,和平,24.307169,121.770065,31.0,POINT (121.770065 24.307169)
46290769,C0Z230,3.5,17.0,31.0,49.5,57.5,75.0,2025-09-22 23:50:00,31.0,和平,24.307169,121.770065,31.0,POINT (121.770065 24.307169)
46467578,C0Z020,2.0,32.5,78.0,146.0,227.5,426.5,2025-09-23 23:50:00,211.0,明里,23.208717,121.262344,211.0,POINT (121.262344 23.208717)
46112223,C0Z050,0.5,1.5,1.5,3.0,7.5,7.5,2025-09-21 23:50:00,830.0,佳心,23.345667,121.213165,830.0,POINT (121.213165 23.345667)
46290756,C0Z050,1.0,27.0,40.0,72.0,98.5,132.0,2025-09-22 23:50:00,830.0,佳心,23.345667,121.213165,830.0,POINT (121.213165 23.345667)
46467592,C0Z230,0.0,0.0,0.0,7.5,20.0,116.5,2025-09-23 23:50:00,31.0,和平,24.307169,121.770065,31.0,POINT (121.770065 24.307169)
46112237,C0Z250,0.0,2.0,2.0,3.0,6.5,7.0,2025-09-21 23:50:00,1124.0,瑞穗林道,23.492842,121.306885,1124.0,POINT (121.306885 23.492842)
46290770,C0Z250,4.0,8.0,55.5,118.5,166.0,186.5,2025-09-22 23:50:00,1124.0,瑞穗林道,23.492842,121.306885,1124.0,POINT (121.306885 23.492842)
46467579,C0Z050,4.0,31.0,50.0,105.5,237.5,442.0,2025-09-23 23:50:00,830.0,佳心,23.345667,121.213165,830.0,POINT (121.213165 23.345667)
46112224,C0Z061,0.0,2.5,2.5,2.5,3.0,3.0,2025-09-21 23:50:00,174.0,玉里,23.3215,121.33965,174.0,POINT (121.33965 23.3215)
46290757,C0Z061,0.0,20.0,40.0,65.0,94.0,108.5,2025-09-22 23:50:00,174.0,玉里,23.3215,121.33965,174.0,POINT (121.33965 23.3215)
46467593,C0Z250,2.5,26.0,43.0,165.0,244.0,480.5,2025-09-23 23:50:00,1124.0,瑞穗林道,23.492842,121.306885,1124.0,POINT (121.306885 23.492842)
46112238,C0Z270,0.0,3.0,3.0,3.0,3.0,3.0,2025-09-21 23:50:00,343.0,蕃薯寮,23.73835,121.54011,343.0,POINT (121.54011 23.73835)
46290771,C0Z270,0.0,0.0,3.0,19.5,28.5,69.5,2025-09-22 23:50:00,343.0,蕃薯寮,23.73835,121.54011,343.0,POINT (121.54011 23.73835)
46467580,C0Z061,0.0,32.5,45.0,123.0,227.5,348.5,2025-09-23 23:50:00,174.0,玉里,23.3215,121.33965,174.0,POINT (121.33965 23.3215)
46112225,C0Z070,1.0,3.5,3.5,4.0,4.0,4.0,2025-09-21 23:50:00,247.0,舞鶴,23.468115,121.37407,247.0,POINT (121.37407 23.468115)
46290758,C0Z070,1.5,15.0,50.5,69.5,93.0,109.0,2025-09-22 23:50:00,247.0,舞鶴,23.468115,121.37407,247.0,POINT (121.37407 23.468115)
46467594,C0Z270,3.5,18.0,43.0,57.0,80.5,196.0,2025-09-23 23:50:00,343.0,蕃薯寮,23.73835,121.54011,343.0,POINT (121.54011 23.73835)
46112239,C0Z280,0.5,3.0,3.5,3.5,4.0,4.0,2025-09-21 23:50:00,224.0,德武,23.474264,121.41071,224.0,POINT (121.41071 23.474264)
46290772,C0Z280,0.0,0.0,28.5,68.0,94.5,113.5,2025-09-22 23:50:00,224.0,德武,23.474264,121.41071,224.0,POINT (121.41071 23.474264)
