COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
"10015","花蓮縣","10015010","花蓮市","10015010-033","民享里",276,141,135,2644,1268,1376,614,265,349,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-034","民有里",122,53,69,392,208,184,123,54,69,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-035","民權里",86,45,41,275,137,138,95,40,55,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-036","主計里",102,46,56,620,315,305,190,79,111,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-037","主權里",857,460,397,4091,1897,2194,1202,493,709,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-038","國華里",494,242,252,1492,712,780,542,248,294,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-039","國防里",151,80,71,643,321,322,171,77,94,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-040","國福里",147,76,71,1105,574,531,345,158,187,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-041","國裕里",491,258,233,3327,1552,1775,1067,482,585,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-042","主安里",522,299,223,1779,828,951,606,249,357,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-043","國盛里",348,193,155,3046,1383,1663,782,353,429,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-044","國興里",349,193,156,3691,1818,1873,835,347,488,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-045","民孝里",345,172,173,2604,1319,1285,763,313,450,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-001","鳳仁里",119,60,59,826,438,388,358,164,194,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-002","鳳義里",48,27,21,364,195,169,221,110,111,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-003","鳳禮里",48,26,22,338,175,163,191,92,99,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-004","鳳智里",151,80,71,700,358,342,328,138,190,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-005","鳳信里",160,74,86,963,527,436,371,176,195,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-006","山興里",51,30,21,343,187,156,170,80,90,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-007","大榮里",125,68,57,870,480,390,374,186,188,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-008","北林里",65,34,31,342,184,158,185,97,88,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-009","南平里",32,20,12,296,162,134,203,105,98,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-010","林榮里",89,47,42,493,272,221,259,118,141,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-011","長橋里",82,33,49,587,338,249,312,143,169,"114Y12M"
"10015","花蓮縣","10015020","鳳林鎮","10015020-012","森榮里",7,4,3,39,21,18,26,10,16,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-001","中城里",706,367,339,3982,2008,1974,1273,537,736,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-002","啟模里",160,81,79,1134,585,549,345,154,191,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-003","永昌里",106,62,44,813,444,369,371,174,197,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-004","泰昌里",95,50,45,675,347,328,443,230,213,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-005","國武里",101,53,48,743,367,376,345,157,188,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-006","源城里",70,27,43,859,489,370,292,158,134,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-007","長良里",65,31,34,422,251,171,138,67,71,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-008","樂合里",35,19,16,627,378,249,301,154,147,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-009","東豐里",33,17,16,347,205,142,142,70,72,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-010","觀音里",101,49,52,1061,592,469,423,210,213,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-011","松浦里",95,58,37,1014,600,414,342,167,175,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-012","春日里",65,42,23,597,340,257,215,104,111,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-013","德武里",63,32,31,502,306,196,210,90,120,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-014","三民里",60,31,29,560,336,224,241,121,120,"114Y12M"
"10015","花蓮縣","10015030","玉里鎮","10015030-015","大禹里",93,49,44,741,404,337,271,124,147,"114Y12M"
"10015","花蓮縣","10015040","新城鄉","10015040-001","新城村",84,45,39,807,434,373,366,165,201,"114Y12M"
